Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Ronald Acuña Jr.,ATL,147.308,658.845,566.106,177.057,106.533,32.9485,2.29748,35.2782,119.899,92.9023,77.313,4.05282,104.017,10.0815,4.0723,1.27275,9.91619,51.5591,12.8928,0.312763,0.117346,0.157877,0.743274,0.402163,0.566034,0.409484,0.968197,0.253271,6.45554,0.329042,1.52333,3.40704,130.129,49.8525,158.233,4.93038,0.441701,52.46053553,-6.565586001,6.81414,1.00999999,5.34625,-0.316671,1.16284,18401
Mookie Betts,LAD,149.128,661.015,566.01,160.369,90.0871,35.4012,2.14414,32.7371,110.656,93.9382,80.5565,2.12614,103.665,8.42032,4.74861,1.27949,7.31319,13.078,3.51028,0.283333,0.121868,0.156827,0.777086,0.377949,0.52697,0.385033,0.904918,0.243636,4.9487,0.293842,0.868251,-0.229337,117.134,36.5936,145.609,0.638914,-1.03663,37.37536788,1.786687136,6.14739,5.090000153,2.55551,-0.274974,0.866346,13611
Aaron Judge,NYY,138.053,600.231,496.05,137.107,71.394,21.6635,0.35407,43.6953,99.8445,106.164,95.8821,9.3736,161.575,3.81132,4.13302,0.354397,8.58952,6.39606,2.3883,0.276397,0.159742,0.269188,0.593422,0.394749,0.585756,0.408204,0.980505,0.309359,3.27357,0.316743,0.177195,-0.974863,117.914,44.7795,161.402,-0.797668,-0.502348,44.11161095,-3.630026817,6.07278,11.32999992,3.85041,0.118483,1.40772,15640
Juan Soto,NYY,152.881,664.032,528.833,147.904,82.8474,26.7862,1.57888,36.6916,104.499,100.075,126.885,8.62432,110.16,3.63501,3.68765,0.991941,14.8556,10.6219,3.9007,0.27968,0.191083,0.165895,1.15183,0.41992,0.54445,0.408576,0.96437,0.264769,3.975,0.288362,-0.953369,-1.09959,130.653,49.7446,161.656,-2.05296,-1.04595,47.83523083,-10.16688287,6.00868,10.75,1.97896,0.0845415,0.964052,20123
Yordan Alvarez,HOU,138.752,598.905,505.149,149.694,78.5747,30.7944,1.70339,38.6218,95.3077,106.543,78.2983,5.89194,116.635,9.82058,5.00283,0.63401,9.94736,0.727507,0.328907,0.296337,0.130736,0.194748,0.671308,0.397501,0.593411,0.413988,0.990911,0.297074,2.60259,0.312973,-0.309367,-1.23232,120.531,47.5574,168.844,-1.54169,-0.691844,47.86192048,-13.02239966,5.50319,16.37000084,2.44955,0.105338,1.49379,19556
Julio Rodríguez,SEA,150.792,662.488,598.603,167.774,99.9315,33.5798,2.74314,31.5195,98.6218,91.4779,50.5116,4.97464,155.707,9.58971,2.69658,1.08762,9.93857,32.1964,8.72168,0.280276,0.0762452,0.235033,0.324402,0.344534,0.503503,0.359647,0.848038,0.223227,6.13274,0.329059,0.582566,1.56332,103.428,22.7081,134.608,2.14588,-0.00962811,29.61757016,2.123491947,5.40964,3.119999886,2.2701,-1.81203,0.38357,23697
José Ramírez,CLE,151.266,657.006,576.769,160.184,92.9811,36.7558,4.04296,26.4043,90.2731,94.126,69.1874,10,76.4832,4.54697,6.04621,0.456327,7.23407,24.6143,7.1162,0.277727,0.105307,0.116412,0.904609,0.356284,0.492812,0.358092,0.849096,0.215085,5.71243,0.27875,1.08625,0.711759,101.724,21.6714,131.356,1.798,1.61954,26.48215854,1.988120496,5.06491,16.10000038,3.62358,-2.24965,0.318101,13510
Adley Rutschman,BAL,143.23,603.502,517.062,140.107,89.6464,30.684,1.32685,18.4496,78.0364,69.7483,76.4493,2.8925,95.1551,4.81768,4.13074,1.04184,10.7994,2.2818,1.01836,0.270967,0.126676,0.157672,0.803417,0.36745,0.442487,0.351957,0.809936,0.17152,2.82058,0.29848,0.6413,-1.26809,90.3652,16.832,127.296,-0.626788,3.75532,19.11145312,10.0916245,4.95672,53.02999878,3.13424,-2.3114,0.615104,26288
Freddie Freeman,LAD,153.709,676.984,587.052,180.164,113.154,38.9903,2.25835,25.7609,108.443,96.0618,75.2631,9.01684,107.953,9.40035,4.66044,0.608108,10.6909,14.9927,3.84668,0.306895,0.111174,0.159461,0.697185,0.391538,0.512652,0.384281,0.90419,0.205756,4.94105,0.337125,0.108866,-0.0797948,119.541,37.0549,145.096,0.0290708,0.558122,37.23029222,-11.3021214,4.88191,8.81000042,4.12844,0.469309,1.17303,5361
Corey Seager,TEX,127.763,558.714,494.91,145.83,83.7896,31.4749,1.07629,29.4897,83.218,87.592,53.0113,5.50444,90.2731,5.2507,4.72819,0.813576,9.93807,2.3819,0.908481,0.294661,0.094881,0.161573,0.587233,0.365823,0.541365,0.38153,0.907188,0.246705,3.04995,0.30626,-0.376647,-0.959183,97.381,29.305,143.077,-1.33583,-1.55062,27.50218081,2.392698407,4.87396,31.89999962,3.69981,1.40827,1.07706,13624
